"Standard","Standard"
State/Province,Fylke/region
Telephone,Telefon
"Minimal","Minimal"
"Optional","Valgfri"
"Required","Obligatorisk"
Save in address book,Lagre i adresseboken
"Hidden","Skjult"
"The fire checkout is disabled.","Fire Checkout er deaktivert."
"Fire Checkout Section","Fire Checkout Seksjon"
"Fire Checkout","Fire Checkout"
"Default Shipping Method","Standard leveringsmetode"
"Default Payment Method","Standard betalingsmetode"
"Default Country","Standard land"
"GeoIP","GeoIP"
"Enable Country Detection","Aktiver GeoIP gjenkjenning av land"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Last ned GeoIP database'>Last ned</a> og unzip filen under mappen 'MAGENTO_ROOT/lib/MaxMind/GeoIP/data'"
"Enable City Detection","Aktiver GeoIP gjenkjenning av by"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Last ned GeoCity database'>Last ned</a> og unzip filen under mappen 'MAGENTO_ROOT/lib/MaxMind/GeoIP/data'"
"Show Shipping Address Form","Skjema leveringsadresse"
"Show Subscribe to Newsletter Checkbox","Vis checkbox for abonnering på nyhetsbrev"
"Address Form Fields","Adressefelt"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Før du deaktiverer felt, forsikre deg om at de ikke kreves av betalingsleverandøren"
"Output Type","Output Type"
Password,Passord
"Create account for later use","Lagre som brukerkonto for senere bruk"
"Checkout Review","Oppsummering"
City,Poststed
"Already registered? Login into your account","Allerede registrert? Logg inn her"
"Show Comment Field","Vis kommentarfelt"
"Guest checkout is allowed","Tillat bestilling uten innlogging"
"Registration is required","Registrering er obligatorisk"
